model,rmse,mae,mape,r2,params,epochs
TCN,634.7409690483814,321.82154890567784,75.00316755889148,0.4690286128257398,29608321,42
WaveNet,701.5428108830009,369.2511309123357,69.4276599475342,0.35138585652425913,32066689,48
GRU,710.5994198539127,383.77446373185865,79.53015188258514,0.33453111427446536,67968769,53
Attention,714.2417874401447,391.0437554473584,71.04031601336958,0.32769155218091406,28596481,69
Transformer,721.6182441924639,357.89874412525603,77.46003918337408,0.313733077448884,50848129,37
LSTM,724.2264194146538,359.18902363075034,74.22628108873057,0.30876330552017106,40568065,50
TFT,770.05246091354,399.55228764720954,72.29812236959391,0.21851853189691506,14206977,40
ConvLSTM,886.8309000996184,523.9694486648987,84.89693435529944,-0.036477052725784054,13113025,38
DenseNN,943.091007811176,638.1034286551655,81.65444118900781,-0.1721555963952024,14629297,62
NBEATS,1111.836630865432,774.1120697758246,84.63009141918214,-0.6291460288470814,29578884,50
